area, type of road, longitude, latitude, trafficlight, date, time, load_index
area 1, bad, 127.54389, 50.25958, False, 05.04.23, 17:21, WHITE
area 1, road, 127.54726, 50.25927, False, 05.04.23, 17:21, WHITE
area 1, road, 127.5479, 50.26189, False, 05.04.23, 17:21, WHITE
area 1, road, 127.544189, 50.261094, False, 05.04.23, 17:21, WHITE
area 1, crossroad, 127.54549, 50.259459, False, 05.04.23, 17:21, WHITE
area 1, crossroad, 127.54726, 50.25927, False, 05.04.23, 17:21, WHITE
area 1, crossroad, 127.5479, 50.261876, False, 05.04.23, 17:21, GREEN
area 1, crossroad, 127.544637, 50.262282, False, 05.04.23, 17:21, GREEN
area 1, crossroad, 127.544168, 50.261054, False, 05.04.23, 17:21, WHITE
area 1, bad, 127.54389, 50.25958, False, 05.04.23, 17:27, BLACK
area 1, road, 127.54726, 50.25927, False, 05.04.23, 17:27, BLACK
area 1, road, 127.5479, 50.26189, False, 05.04.23, 17:27, BLACK
area 1, road, 127.544189, 50.261094, False, 05.04.23, 17:27, BLACK
area 1, crossroad, 127.54549, 50.259459, False, 05.04.23, 17:27, BLACK
area 1, crossroad, 127.54726, 50.25927, False, 05.04.23, 17:27, BLACK
area 1, crossroad, 127.5479, 50.261876, False, 05.04.23, 17:27, BLACK
area 1, crossroad, 127.544637, 50.262282, False, 05.04.23, 17:27, BLACK
area 1, crossroad, 127.544168, 50.261054, False, 05.04.23, 17:27, BLACK
area 1, bad, 127.54389, 50.25958, False, 05.04.23, 17:30, BLACK
area 1, road, 127.54726, 50.25927, False, 05.04.23, 17:30, BLACK
area 1, road, 127.5479, 50.26189, False, 05.04.23, 17:30, BLACK
area 1, road, 127.544189, 50.261094, False, 05.04.23, 17:30, BLACK
area 1, crossroad, 127.54549, 50.259459, False, 05.04.23, 17:30, BLACK
area 1, crossroad, 127.54726, 50.25927, False, 05.04.23, 17:30, BLACK
area 1, crossroad, 127.5479, 50.261876, False, 05.04.23, 17:30, BLACK
area 1, crossroad, 127.544637, 50.262282, False, 05.04.23, 17:30, BLACK
area 1, crossroad, 127.544168, 50.261054, False, 05.04.23, 17:30, BLACK
